Id,Review,Label,Category
92,Very informative an approachable course. I really like the way Aric presents the information. I am excited to complete the rest of the Specialization.,5,Course Content
93,good introduction!!!,4,Course Content
94,The best course for beginners.,5,Course Content
95,Thanks for the course! It has opened me to the world of 3D printing - on when did it start and where it is now. :),4,Course Content
96,This was a great course! Aric Rindfleisch encourages enthusiasm on this new techology revolution. It gave me the fundamental basics on the matter. Furthermore now I am more interested on 3D printing than I was before starting the course. I surely follow the following Illinois University courses on 3D Printing!,5,Course Content
97,"Great intro to 3D printing and the many, many ways it can be used.",5,Course Content
98,Good experience to start with,4,Course Content
99,Gives a nice over view about what is 3d printing.,5,Course Content
100,This course change me the views on 3D printing and their revolution.,5,Course Content
101,Have got a great insight towards 3D Printing.,5,Course Content
102,Excelent! Lots of information and really interesting interviews. Plus Aric Rindfleisch is extremely clear in the lectures. Congratulations.,5,Course Content
103,"Wow ! Learning is so easy here, bring your innovation to reality , please join this course , Highly recommended !!!!",5,Course Content
104,"This is a great introduction to 3D printing. It covers the basics of different 3D printing technologies, from desktop to industrial hardware. It shows the resources and services available to utilise 3D printing effectively. It provides interviews with entrepreneurs and others in industry which are using this technology.",5,Course Content
105,This course doesn't contain any new information. It does not teach you but just excitedly shows commonly known facts.There are better ways to invest your time.,1,Course Content
106,"Fred J FeilerNov 20, 05:49 PSTChat started: 2016-11-20 01:37 PM UTC(01:37:50 PM) Fred J Feiler: We need a start date for 3D Printing Software course. The learners are concerned that this course will never happen even for those who have been enrolled since June 2016.(01:38:52 PM) Coursera Support: Thanks for reaching out to us! Someone will be right with you.(01:39:38 PM) *** Jessy joined the chat ***(01:39:54 PM) Jessy: Thanks for reaching out to us. Iâ€™d be more than happy to help you today.(01:40:29 PM) Jessy: I am very sorry for the inconveniences.(01:40:40 PM) Jessy: Please allow me a moment while I take a look into this for you Fred.(01:40:59 PM) Fred J Feiler: Thanks(01:44:54 PM) Fred J Feiler: I enrolled in the five course specialization. My momentum is at a standstill so if this course is delayed Iâ€™ll look for something better.(01:46:05 PM) Jessy: I am very sorry for the inconveniences Fred, I checked and that course does not have sessions available yet.(01:46:16 PM) Jessy: It looks like we will need some time to look into this issue further. I am going to escalate this to our support specialists so they can further investigate. This means that I will be ending this chat and it will become a support ticket email. You will receive an email transcript of our chat for your records, and someone from our support team will review our chat and email you with updates as soon as possible.(01:47:18 PM) Fred J Feiler: OK, thank you!",4,Course Content
107,Excellent introduction of 3D printing. The course is well designed and engaging. Looking forward to the other courses in the series.,5,Course Content
108,"This course was fantastic, I learned so much from it, and I am so excited to continue this track!",5,Course Content
109,Great course. Can't wait for the next one to start,5,Course Content
110,Not according what I expected,3,Course Content
111,2 thumbs up learned something that I have never learnt before.,5,Course Content
112,Great course to start with 3D printing technology.,5,Course Content
113,Great Introduction to the 3d printing world,5,Course Content
114,a very good introductory course. as a novice in 3d printing it helped me a lot understanding the basics of 3d printing.,5,Course Content
115,Good place to start if you don't know anything about 3D printing.,5,Course Content
116,Very complete and extensive.The weeks actually take weeks to complete!,5,Course Content
117,Thank you so much!,5,Course Content
118,"Excellent information covered, very understandable with practical examples and great professors.",5,Instructor Quality
119,Very interesting course!,5,Course Content
120,A very comprehensive and total introduction to basic concepts of 3d printing,5,Course Content
121,"Excellent course, really lloking forward for the rest of the specialization!",5,Course Content
122,Suberb introducition into 3d printing idea and usage,5,Course Content
123,"I really liked The 3D Printing Revolution course. It's easy to understand, you don't need any background knowledge, but you will find out so much about this topic - including materials that are used, technologies, 3D printing companies... Also, the materials cover history and the future of 3D printing. It's a great introductory course and the instructor (and the guests) are amazing. I recommend it!",5,Course Content
124,Nice introduction to 3D for absolute beginners. Very interesting interviews entrepreneurs.,4,Course Content
125,Great course! The fundamentals were covered and I am excited to take the next course.,5,Course Content
126,"It's mostly very basic stuff, but even then it introduced me to concepts I wasn't aware of.",4,Course Content
127,"Great thanks for Dr.aric ,who has a smiley face ,If any one enrolled this course ,he would get a great knowledge and usefull information about 3d printing or addtive manufacturing ,throw a simple & exciting videos ,not only that ,you would get another benefits not only information about 3d priting ,like ,getting knowledge of many companies from the inside ,see stories of successfull people which achieves you to keep up with your work ,meet with your colleagues and make new friends ,and finally grow up your english skills ,like listening and grow up your vocabulary .....Great thaks for coursera team ,it's our pleasure to learn with you ........",5,Course Content
128,Very nice introduction about 3D printing! I love it!,5,Course Content
129,"Good introductory course, just a little bit to short for my like.Gus",4,Course Content
130,I can't just not to rate this as I really enjoyed it to the max,5,Course Content
131,"Great course. A must for every individual who has some idea about it and even if you don't, Aric and his team will guide you throughout this wonderful technique.",5,Course Content
132,great course for learning about 3d printing and seeing where the technology has gottten to. I will be pursueing the rest of this capstone.,5,Course Content
133,"Do not hesitate to enroll, it's a brain storming course & I like the way of the teaching here!",5,Course Content
134,Great course delivery by the instructor! Great opportunity to meet great people! To me it was like a real journey! The course gave me a clear understanding of 3D printing in high level. Looking forward to get in -depth knowledge from further courses! I would highly recommend this course to those who wish to know about 3D printing!,5,Course Content
135,It provides not only a good overview about 3D Printing but stimulates people who attend it to look for more. Great course to start the journe,4,Course Content
136,"Geeat it give the confidence to unleash my creativity. And now I see the world with different eyes, with great opportunities to create or customize objects in 3D.",5,Course Content
137,A very good introductory course in 3D Printing for everybody at every level.,5,Course Content
138,Mind-blowing course!,5,Course Content
139,Great introduction,5,Course Content
140,I like the course. Pretty concise and straight forward. Highly recommended.,4,Course Content
141,Eye and mind opening course.,5,Course Content
142,good introduction to 3D printing,3,Course Content
143,"Very good introduction to the subject, instructor never looses the attention with new topics and examples.",5,Course Content
144,"Great introduction, even for people who will not pursue completion of the full specialisation.",5,Course Content
145,perfect introduction to the 3D printing world!,5,Course Content
146,"Amazing! Very interactive, engaging and comprehensive.",5,Course Content
147,Excellent introduction to 3D printing.,5,Course Content
148,"Great content, the videos and talks are very motivating and they give an exciting overview of the subject. Thanks for the great work.",5,Course Content
149,Great class!,5,Course Content
150,very interactive and reflective course highly recommended.,5,Course Content
151,a very good overview that makes you long for,5,Course Content
152,"If you know little or nothing about additive, and it sounds interesting, this is a good place to start!",4,Course Content
153,"An excellent course to start with, if you are completely new to 3D printing. Easy-to-understand language, very little special tech-talk, so the course is suitable for virtually anybody. t is true that you do not need to be a tech genius to get acquanted with the world of 3D printing!",5,Course Content
154,"A good course, please provide more practice quiz in depth.",4,Course Content
155,Simply very interesting.,5,Course Content
156,Its a nice brief introduction about 3-D Printing technology.,5,Course Content
157,Very good and helpful introduction to 3D Printing,5,Course Content
158,Great Class!,5,Course Content
159,it's a very good an easy to understand first inmersion in the world of 3d printing,5,Instructor Quality
160,"It was exactly like the lecturer said it would be like.The only hard part is the last part, where we had to actually remix an existing 3D model .I think this part of the lecturer video should have had an in depth look at how to use the 3D app.Nevertheless the course was good I learnt a lot of new stuff and not to give out any spoilers.....Its worth it.",5,Course Content
161,A good Introduction to 3D printing.,4,Course Content
162,Great information about 3d printing. It helps you to understand what is the current scope of this technology and how you can start.,5,Instructor Quality
163,"I didn't really care about the stories from the students or seeing the space for one whole lecture video. It's clear that Ultimaker is the sponsor, but it felt like a commercial. I want to learn more.",2,Platform Usability
164,It's fantastic,5,Course Content
165,Great class,5,Course Content
166,"This first course has been an excellent overview of the field. Easy to follow and brought everything into ""perspective"" . Eagerly looking forward to the next course.",5,Course Content
167,Excellent course! Very thorough introduction and has only peaked my curiosity to go further in understanding this powerful technology!,5,Course Content
168,"The course was great! I think its a great point to start in 3d printing, it has lot of information, links, interviews and it easy to understand. Keep up the good work!!!",5,Course Content
169,Very useful for understanding the basics of 3D printing technology.,5,Instructor Quality
170,"This is a fantastic course, even if you've never before heard of 3D printing or you've been using a 3D printer for a while, and I'd highly recommend it to anyone interested in technology or futuristic concepts.The videos in this course are very engaging. There are a plethora of interviews with people who are involved with the 3D printing industry, who discuss specific topics in 3D printing, and each offer their views on the future of 3D printing. All the different opinions and perspectives really helped me understand the importance of 3D printing at both an industry and consumer level. Considering this is an introductory course, it's very thorough, and it consolidates and summarizes information that might take you ages to glean off the internet. Even though I had a 3D printer before I took this course, I learned a lot!",5,Course Content
171,Very good intro to 3d printed.,5,Course Content
172,"I enjoyed this class very much. All the content was very easy to understand and follow. I love the fact that I can pick up the materials on my phone or table through the app! Is very convenient. Before this class I had no idea 3D printing had been around for so long, I thought it was someone newer, it's amazing to see all the different applications it can be use for.",5,Course Content
173,It's not a course... this is a very short general introduction to 3D Printing,1,Course Content
174,"Hello!My name is Ahmed from Egypt, I am 3D Hubs Mayor. I think it's The first course in the internet which will give you the opportunity to know a lot of things about 3D Printing so stay tuned and register now if you interested in 3D printing.Cheers,",5,Course Content
175,This is a great introduction to 3d printing and the maker movement. Things I thought I knew were corrected and resources I never knew about were introduced. Very worthwhile,5,Course Content
176,Good information but way too short for what Coursera charges.,3,Course Content
177,Practically oriented and brilliantly organized!,5,Course Content
178,It was a perfect introductory course for those who really want to learn something about 3D-Printing. I loved it..,5,Course Content
179,"Best place to get yourself up-to-date with the ""state-of-the-art"" in 3D printing. I really liked 'The Revolutionaries' section where you get exposure to all the inter-disciplinary ideas floating around in the 3D Printing landscape.",5,Course Content
180,"Thank you for this course, very good course.",5,Course Content
181,"I am very glad to see courses like this one on Coursera. The course itself is well structured and contains a lot of useful information and that is exactly what I needed in one place.My only complaint is the price of the course - I think it is a bit expensive especially for this first part of the specialisation - it is an introductory two week course with a lot of advertising...Â£40..common..are you serious?? A lot of people will buy personal 3D printers or kits after the course, some of them will make a decision to buy a 3D printer for a company they work for (as myself), Fusion 360 subscriptions etc. These companies should sponsor such courses to make them more affordable - it is their interest.I made several courses on Coursera already (Mechanical and Electrical Engineering), they were 5 to 8 weeks and comprised a lot of quite hard work from mentors and students and were only Â£32 for certificate.I like the idea of this specialisation but I decided not to pay for the certificate because of its price. Although I am very happy to have access to the courses and I thank you for you effort!",4,Course Content
182,This is a really great introductory course on 3D printing. I was completely new to the subject and in just two short modules both the basic techniques and some modern day applications were explained in a really clear and engaging manner.I was also really interested to learn about the business examples that made use of these new technologies.Recommended for anyone who is interested in new and exciting techniques!,5,Course Content
183,Great endeavor! You can now learn about the 3D printing technology at your own place.,5,Course Content
184,An excellent course. I only wish the portion on non-financial metrics included some examples or insight in how best to quantify non-financial metrics in do,5,Course Content
185,"week 1 and 2 were kind of boring, but maybe necessary; weeks 3 and 4 were more interesting from a business point of view (i'm not so much interested in accounting as in business decisions).the virtual class of professor Bushee was quite funny :)",4,Instructor Quality
186,"Excellent course, first 3 weeks were very technical but highly informative. Quite a bit of accounting knowledge is required to understand the work. Last week of lessons were more simple and intuitive to understand, but overall, a very insightful module",5,Course Content
187,"First of all, I really enjoyed Professor Ittner's presentations. Sadly, his presentation was only 25% of the course. Professor Ittner was very direct but also was very engaging in how he delivered his content. I had a good feeling that I could really understand the material he was teaching. If I could give a rating for just Professor Ittner, I would give a 5 star rating. Now, this is why I am giving this course a 1 star rating. But I do have to say, going into the depths of Accounting Analytics is not easy. You really need to have a good grasp of Accounting otherwise you will get lost. Professor Bushee did not make the first 3 weeks really easy to get through. While I enjoyed his examples & case studies, he simply did not do a great job of really explaining and illustrating the concepts he was teaching. And worst of all, he setup a digitally generated classroom where he had his computer generated students ask pointless questions, make pointless statements, or answer with pointless statements/answers. I really wish I had the time to analyze how much of the course time he spent doing this, I would estimate that it's around 10% but it could very well be higher. There are so many different examples to pick form, but I'll just pick a few here. ""I didn't read the Iliad or Odyssey some I'm not going to ask you to"" in reference why in regression there are Greek letter used for coefficients (it's a fair assumption that someone taking this class understands coefficients), a 30 second exchange where a PC generate student says that they're ""stocked"" to run some regression followed by Proffessor Bushee informing us that ""we're going to run some narly regressions"", Professor Bushee saying he doesn't know how to perform Earning Management Analysis on Mars but he certainly knows how to do it on Earth, and a joke why people don't like accountants. These segments add absolutely zero value. They lengthen the time of the course. To make maters worse, I'm sure Proffessor Bushee had to spend even more time creating this additional interaction together.",1,Course Content
188,This is the first English course I have taken.Though at first it was kind of difficulty because of language(especially the terms) and profession knowledge(it is a comprehensive course and I am still learning courses concerned at school)the course is really worth taking. I have learned a lot .and it stimulates my interest in accounting.,5,Course Content
189,Thanks for your help.,5,Course Content
190,"It was fast, but provided a good overview. I would like some cases to work and to apply the methods to.",5,Course Content
191,Providing what are the insight we need to look before investing in a company and how interpret the balance sheet and found the,4,Course Content
192,No practical knowledge learnd and no clear examples of the topics. Too complex all the course,1,Course Content
193,"The course itself is good. Nevertheless, it says that it doesn't require any previous experience... But there is actually experience required on financial statements and concepts.",3,Course Content
194,Very good course but videos sometimes too long,4,Course Content
195,A fantastic course,5,Course Content
196,Really fantastic and interesting intermediate accounting course,5,Course Content
197,"weeks 1,2 and 3 were not satisfactory according to me. the video lectures were difficult to comprehend. week 4 was very good.",2,Platform Usability
198,this is the best course that i ever studied it,5,Course Content
199,"I love the professors, but unfortunately, I do not feel much connection to me (not really seeing so much importance for me to identifying if a company is making fake financial statements; I am not an investor, and my everyday work does not really have so much to do with financial statements).The Managerial Accounting (week 4) transforms my mindset!! I really appreciate that. That one single week of course can literally help so many companies/NGOs. That week 4 should be promoted more!!",3,Course Content
200,"This is fantastic course. The only catch is that it doesn't have Chinese translation, which makes it a little bit more difficult for non-natives to learn. The quality is great.",5,Course Content
201,"I have only taken one year of accounting in high school before, but the course was really easy to comprehend and engaging!",4,Course Content
202,It's a very good course.,4,Course Content
203,The three first weeks were almost completely dedicated to traditional finance accounting ratio analysis.,2,Course Content
204,"Course was not easy to grasp, lost interest after the first week and I barely got through the quiz at the end.",2,Course Content
205,"This course is difficult for me since it requires extensive background of accounting studies while my background is in HR and Strategy. However, I grasped the opportunity to make up my finance and accounting related knowledge, and passed the course finally after several times of trial and error. The professors taught the course in a very interesting and fun way, which could have been a boring class with lots of difficult and hard numbers but turns out to be a class full of fun and laughters. I like the way the two professors are presenting the knowledge, as well as doing the analysis. Thanks for providing such a course! More courses like this should be organized to benefit more professionals or students in need!",5,Course Content
206,Very useful material to financial review of cash flow statements.,4,Course Content
207,"Very informative course. Prof. Bushee is hilarious,, really like his teaching technique",5,Course Content
208,"not a big fan of accounting honestly, but i quite enjoy the course. doesn't involve a lot of in-depth math, and its easy to follow.",5,Course Content
209,"The first three weeks focussed heavily on ratios and detecting fraud and earnings management in an organization, the fourth week seemed to actually relate to data analytics and how non-financial aspects of a company play a role in the financial outcomes. I really do not see where a data analyst who is not in accounting field would be using the fraud detection scenarios in real life. A data analyst would be focused on improving the business and doing the analyses that pertain to improving certain aspects of a business, not finding his manager's earnings management using an M-score etc.",3,Course Content
210,It was very well done and very informational. Thanks again professors for your dedication and time to educate society!,4,Instructor Quality
211,My major is accounting but I still felt that it was so difficult. But I learned some knowlege which our teachers didn't tell me. Thanks!,5,Instructor Quality
212,Departments rigidity to information sharing as an ailment at middle and lower organizational levels was a notable issue,5,Course Content
213,"This course made me look at Accounting in a very different way; instead of common business schedules, it actually became exciting to read and find out what was really going on!",5,Course Content
214,Most fruitful course for the most updated Accounting Analytics,5,Course Content
215,Very informative and interactive. I like the style of Professor Bushee's classroom teaching,4,Instructor Quality
216,"I believe that it is a fantastic course for those have some basic accounting knowledge and the willingness to enter compliance area. More importantly, the concept linking financial and non-financial decisions are also fantastic to bring accounting to life! I do love both professors in the module!",5,Course Content
217,great accounting ratio analysis,5,Course Content
218,Good overview on Financial Analytics!,4,Course Content
219,"This was very challenging course for me... I felt you needed a strong knowledge base of financial statements to really understand what triggers potential fraud, deception. I think I will need to re-review the course material to reinforce the concepts. Thanks!",5,Course Content
220,Focus of first 3 week is more of an audit analytics material. Quiz material could have been more interactive. Overall OK course.,4,Course Content
221,"An excellent course with Professor Bushee, as always (I completed a previous ten weeks course with him, also a superb quality programme of study), very practical, focused and complete, and absolutely enjoyable.",5,Course Content
222,"Interesting course. Motivating instructors. Tests were sometimes a bit too much about semantics and too little about applying knowledge in a practical way (which the course intro hinted on). But it was good value, manageable next to job and private life and fun to do. You won't regret it.",4,Course Content
223,This has been a challenging course for a person that doesn't have any accounting experience,4,Course Content
224,"Professors need to undergo a presentation and Instruction Design skills. They were talking a lot and everything was going over my head, the reason was there were not visual prompt for the examples, specifically in the last week.",1,Instructor Quality
225,Excellent overview of identification of problems in financial statements,5,Course Content
226,"This is an excellent course, especially for someone with near zero knowledge of financial statements and their analysis. The concepts are clearly presented, with interesting details and supporting examples of their use. The inane comments by cartoon characters using poorly simulated accents is only mildly irritating.",4,Course Content
227,Interesting course with good and clear explanation. Easy to understand and with fun!Thank you!,5,Course Content
228,Very clear. Excellent instructor and it's free if you don't pay for the cert! Can you have a better class experience? Thank you Prof. Bushee!,5,Instructor Quality
229,Wonderful! Very convenient discourse and utterly concise.,5,Course Content
230,A very interesting course. Strengthening the advanced accounting concepts.,5,Course Content
231,It was very breathtakingly and I think that it is the best course within the Business Analytics specialization.,5,Course Content
232,difficult for people without accounting background to take.,3,Course Content
233,Good structure... funny prof! ... alot to digest but worth it.,5,Instructor Quality
234,"The contrast of provided material is quite huge. In first for weeks all the analytics are explained and decisions are shown, in the last week only principles and overall concepts are introduced.",4,Course Content
235,"I have many hours of undergraduate accounting and finance course work under my belt and this class gives you a tremendous overview of financial statement analysis. The only disadvantage is that the professor creates the workbooks for you and you only have to answer conceptual questions. While this would be great for some, I was hoping for some more hands on work to practice.",4,Course Content
236,"Excellent Material and instructions. Hard, but valuable",5,Course Content
237,"Although I am not a native speaker,but I try me best to understand it!Good teacher!Good Coursera!",5,Course Content
238,Very insightful topic! A good overview of the use of analytics in accounting!,4,Course Content
239,"was worth the time, thanks professor",5,Instructor Quality
240,I have thoroughly enjoyed this course. The whole idea of earning management was cool. I will highly recommend this course to all.,5,Course Content
241,"Awesome Course! Very funny and really sophisticated! The last part is eye opening. Best course in this specialisation!It is not for beginners though, you should have a solid understanding of accounting for the first 3 lectures.",5,Course Content
242,"Besides serving as a refresher of a few accounting topics, this course really delivers on the topics of analyzing financial statements for possible fraud and linking non-financial metrics to financial performance.",5,Course Content
243,I really appreicated the tools and techniques presented in the course. Very very valuable for Merger and Acqusition projects that I will be involved in (if ever),5,Course Content
244,Excellent thoughts and concepts presented.,4,Course Content
245,i love professor Brian J Bushee!!,5,Instructor Quality
246,Great concise lectures and examples. Useful supplemental files. Entertaining Q&A in Brian's sessions.,5,Course Content
247,"Rather robust material with strong focus on ""deceptive"" practice detection. A lot of ratio analyses, each with its own moniker which I found tedious. Informative and confirmed that I don't have the ""accountant gene"".",4,Course Content
248,"Sorry to say but among the four courses of this specialization, this one really disappointed me. Not the fault of teachers or institute, i think the only mistake they made is try to fit too many topics in one course. Anyway this is only my opinion!",3,Course Content
249,Amazing Course!,5,Course Content
